Parts,Price,Status,Supplier Link,Notes
M3 x 40mm Countersunk x 50,$5.80,,https://www.aliexpress.com/i/32968616563.html,"Again, 50 pieces seem to be about the same price as 10. "
M5 x 10mm Buttonhead x 40,$8.10,,https://www.aliexpress.com/item/4000038065691.html?spm=a2g0o.productlist.main.10.45dcvq2Kvq2KSc&algo_pvid=d27a6437-73dc-434e-b02c-b66e6b8e4c1d&algo_exp_id=d27a6437-73dc-434e-b02c-b66e6b8e4c1d-3&pdp_ext_f={%22order%22%3A%224745%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22}&pdp_npi=6%40dis!USD!3.82!3.51!!!3.82!3.51!%40211b430817798979341774656ea1c2!12000024672899097!sea!RO!6269058475!X!1!0!n_tag%3A-29919%3Bd%3A6fbfa3cb%3Bm03_new_user%3A-29895%3BpisId%3A5000000207667627&curPageLogUid=Cr3bxbkHbX0Q&utparam-url=scene%3Asearch|query_from%3A|x_object_id%3A4000038065691|_p_origin_prod%3A," Mainly Y-axis, also Z drives. "
M5 x 8mm Buttonhead x 20,$4.00,,https://www.aliexpress.com/item/4000038065691.html?spm=a2g0o.productlist.main.10.45dcvq2Kvq2KSc&algo_pvid=d27a6437-73dc-434e-b02c-b66e6b8e4c1d&algo_exp_id=d27a6437-73dc-434e-b02c-b66e6b8e4c1d-3&pdp_ext_f={%22order%22%3A%224745%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22}&pdp_npi=6%40dis!USD!3.82!3.51!!!3.82!3.51!%40211b430817798979341774656ea1c2!12000024672899097!sea!RO!6269058475!X!1!0!n_tag%3A-29919%3Bd%3A6fbfa3cb%3Bm03_new_user%3A-29895%3BpisId%3A5000000207667627&curPageLogUid=Cr3bxbkHbX0Q&utparam-url=scene%3Asearch|query_from%3A|x_object_id%3A4000038065691|_p_origin_prod%3A,
M5 x 40mm Buttonhead x 20,$5.50,,https://www.aliexpress.com/item/4000038065691.html?spm=a2g0o.productlist.main.10.45dcvq2Kvq2KSc&algo_pvid=d27a6437-73dc-434e-b02c-b66e6b8e4c1d&algo_exp_id=d27a6437-73dc-434e-b02c-b66e6b8e4c1d-3&pdp_ext_f={%22order%22%3A%224745%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22}&pdp_npi=6%40dis!USD!3.82!3.51!!!3.82!3.51!%40211b430817798979341774656ea1c2!12000024672899097!sea!RO!6269058475!X!1!0!n_tag%3A-29919%3Bd%3A6fbfa3cb%3Bm03_new_user%3A-29895%3BpisId%3A5000000207667627&curPageLogUid=Cr3bxbkHbX0Q&utparam-url=scene%3Asearch|query_from%3A|x_object_id%3A4000038065691|_p_origin_prod%3A,
Square M3 T-Nuts x 100,$10.50,,https://www.aliexpress.com/item/1005003009013919.html?aff_fcid=4fa27105639d4b87979e7ea593add0b8-1773166888898-00139-_DczMbOX&tt=CPS_NORMAL&aff_fsk=_DczMbOX&aff_platform=shareComponent-detail&sk=_DczMbOX&aff_trace_key=4fa27105639d4b87979e7ea593add0b8-1773166888898-00139-_DczMbOX&terminal_id=963d070319ae43e988aba376b6cb1b1f&afSmartRedirect=y,
Drop-in M5 T-Nuts x 50,$6.30,,https://www.aliexpress.com/item/1005003023734101.html?aff_fcid=5b9e28e9b6ba4c40a32110a03999ff9b-1773166864367-03183-_DD6UlRR&tt=CPS_NORMAL&aff_fsk=_DD6UlRR&aff_platform=shareComponent-detail&sk=_DD6UlRR&aff_trace_key=5b9e28e9b6ba4c40a32110a03999ff9b-1773166864367-03183-_DD6UlRR&terminal_id=963d070319ae43e988aba376b6cb1b1f&afSmartRedirect=y,
Drop-in M3 T-Nuts x 20,$3.60,,https://www.aliexpress.com/item/1005003023734101.html?aff_fcid=5b9e28e9b6ba4c40a32110a03999ff9b-1773166864367-03183-_DD6UlRR&tt=CPS_NORMAL&aff_fsk=_DD6UlRR&aff_platform=shareComponent-detail&sk=_DD6UlRR&aff_trace_key=5b9e28e9b6ba4c40a32110a03999ff9b-1773166864367-03183-_DD6UlRR&terminal_id=963d070319ae43e988aba376b6cb1b1f&afSmartRedirect=y##,
Black Polycarbonate Sheet x 3mm,Owned,,https://www.dedeman.ro/ro/placa-hobbycolor-negru-1000-x-500-x-3-mm/p/6022128,For ebox panels.
Transparent Polycarbonate Sheet x 4mm,Owned,,https://www.dedeman.ro/ro/placa-hobbyglas-transparent-500-x-250-x-4-mm/p/6019004,Fo ebox door.
,,,,
Filament ,,,,
Devil Design Orange ASA,$29,,https://www.diverso.ro/filamente/filament-devil-design-asa-portocaliu-deschis-bright-orange-1kg.html,
Torofil Turbofil Black ASA x 2,$44,,https://toro3d.eu/shop/?product=torofil-turbo-asa-black,Need more for the frame + any failed parts.
Shipping,,,,
,$15,,OMC-Stepperonline,
,$15,,Triangle Labs,
,$14,,Toro3D,
,$24,,BST,
,,,,
Total:,678.38,,,
